Company Name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
3054,-4.57,-3.64,-1.84,-26.46,-7.66,-17.87,23.2,-27.98,203.03,-288.78,-4.99,-261.4,909.76,723.19,7.51,6.99,34.97,6.12,0.31,3.56,48.52,8861
3094,3.02,22.6,2.06,8.9,17.1,2.4,59.3,48.93,-0.81,2.06,509.35,2.73,2283.21,2179.81,10.78,9.73,6.63,6.29,0.19,2.57,1.41,95732
3189,9.83,21.07,1.96,4.06,3.69,2.45,16.43,30.13,21.5,157.99,144.75,137.01,196.11,164.15,45.4,31.22,6.58,24.94,0.62,7.61,1.37,556196
3257,11.96,27.94,10.05,23.4,24.99,17.76,23.43,98.9,53.02,78.14,883.43,186.15,568.31,459.47,15.58,13.48,5.6,27.88,0.57,2.45,5.14,302167
3413,17.81,18.97,20.76,17.11,15.89,23.37,9.02,29.02,47.24,75.28,166.02,159.75,180.62,129.92,74.05,42.54,8.39,55.54,1.17,4.69,6.35,1273670
3443,9.83,8.49,5.76,2.7,3.2,8.59,22.37,37.03,29.84,-1.47,-26.72,-30.54,168.58,105.92,112.04,52.84,9.94,79.87,1.55,5.18,14.12,833389
3530,9.27,11.85,7.08,7.71,8.33,9.94,12.17,-2.77,27.93,26.9,66.01,48.32,500.14,204.73,37.38,27.21,354.15,57.27,1.04,2.17,5.2,-166307
3532,12.81,32.09,4.97,14.95,13.36,7.77,4.99,150.16,0.92,-34.42,-40.32,-50.76,749.7,564.56,10.68,9.65,5.96,24.54,0.53,3.32,1.17,1256756
3536,-2.16,-7.98,-31.01,-20.74,-23.44,-15.74,28.65,-1.25,-59.3,-42.61,10.07,10.59,79.99,49.01,443.18,81.59,2.77,136.98,0.36,2.81,0.75,160319
3545,5.18,6.4,4.41,4.39,5.44,4.41,17.39,-6.09,49.43,44.54,220.22,325.31,209.2,119.62,64.57,39.24,8.71,51.72,1.08,5.16,9.47,1021013
3583,9.65,14.7,7.4,12.56,10.58,9.18,29.36,21.68,-23.83,-6.87,-10.77,-29.52,224.48,149.9,62.48,38.46,4.8,57.58,0.82,2.47,2.55,-56103
3588,7.11,10.76,2.75,4.86,4.81,4.5,27.35,13.66,36.28,26.09,321.46,143.46,400.04,269.06,23.63,19.11,7.72,43.66,0.88,2.94,3.46,58824
3661,23.09,30.85,13.75,14.5,15.19,15.67,18.57,73.79,78.48,49.46,157.5,121.76,148.96,106.3,131.14,56.74,11.03,21.8,1,8.87,9.92,487769
3686,-1.32,-18.41,-10.64,-47.4,-43.8,-14.09,40.42,-46.79,-24.47,75.01,39.35,-43.85,1015.77,253.02,35.47,26.18,0,0,0.08,0,36.92,18267
3711,11.43,19.61,7.72,7.2,7.05,7.25,9.46,26.75,10.41,22.99,59.43,56.49,133.15,84.76,167.33,62.59,5.28,68.8,0.77,6.74,1.89,2672069
4919,4.16,10.15,3.79,2.63,5.82,3.26,36.01,6.91,42.51,38.56,-29.47,31.16,150.51,91.43,296.75,74.8,5.55,135.32,0.69,2.25,3.93,822690
4952,11.06,14.68,9.63,10.47,11.05,10.17,23.6,11.96,1.09,-0.01,11.74,6.9,320.71,253,37.73,27.4,4.8,53.61,1.01,4.66,5.44,286949
